,phase,project_gpt,pull_number_gpt,is_gpt_pr,event_gpt,factor_gpt,factor_gpt_norm,duration_gpt,project_no_gpt,pull_number_no_gpt,is_no_gpt_pr,event_no_gpt,factor_no_gpt,factor_no_gpt_norm,duration_no_gpt,jaccard_distance,jaccard_similiarity,manhattan_distance,cosine_distance,cosine_similarity,euclidean_distance
0,at_review,3DStreet_3dstreet-editor,274,GPT PR,gpt assistance,[ 2  3 18 14],[0.    0.062 1.    0.75 ],3.638,one-among-us_data,150,Not GPT PR,not gpt assistance,[ 1  3 32 24],[0.    0.065 1.    0.742],1.052,0.0,1.0,0.011,0.004,0.996,0.009
1,at_review,9oya_analytics_logger_gen,4,GPT PR,gpt assistance,[ 1  1 79  0],[0.013 0.013 1.    0.   ],16.796,gptlint_gptlint,3,Not GPT PR,not gpt assistance,[  7  11 730   0],[0.01  0.015 1.    0.   ],83.514,0.0,1.0,0.005,0.0,1.0,0.004
2,at_review,AbstractSDK_cw-orchestrator,345,GPT PR,gpt assistance,[  2  17 127  18],[0.    0.12  1.    0.128],0.983,NascentCore_3k,353,Not GPT PR,not gpt assistance,[ 1  7 63  6],[0.    0.097 1.    0.081],8.611,0.0,1.0,0.07,0.001,0.999,0.052
3,at_review,ActivityWatch_aw-watcher-window,95,GPT PR,gpt assistance,[ 1  1  8 88],[0.   0.   0.08 1.  ],70.06,obsidianmd_obsidian-releases,2618,Not GPT PR,not gpt assistance,[ 1  1  4 42],[0.    0.    0.073 1.   ],181.124,0.0,1.0,0.007,0.0,1.0,0.007
4,at_review,AdaptiveMotorControlLab_AmadeusGPT,11,GPT PR,gpt assistance,[0 0 0 5],[0. 0. 0. 1.],0.253,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
5,at_review,AgentOps-AI_agentops,96,GPT PR,gpt assistance,[1 1 4 6],[0.  0.  0.6 1. ],0.068,CDCgov_phdi,1165,Not GPT PR,not gpt assistance,[ 3  3 12 18],[0.  0.  0.6 1. ],0.644,0.0,1.0,0.0,0.0,1.0,0.0
6,at_review,Azure_azure-kusto-java,300,GPT PR,gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.009,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
7,at_review,Azure_azure-kusto-java,301,GPT PR,gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.081,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
8,at_review,Azure_bicep-registry-modules,373,GPT PR,gpt assistance,[ 5  5 20 25],[0.   0.   0.75 1.  ],7217.984,duckduckgo_privacy-configuration,1281,Not GPT PR,not gpt assistance,[ 1  1 21 26],[0.  0.  0.8 1. ],79.908,0.0,1.0,0.05,0.015,0.985,0.05
9,at_review,BibliothecaDAO_eternum,440,GPT PR,gpt assistance,[  3   5 308  13],[0.    0.007 1.    0.033],1.401,simonw_llm,130,Not GPT PR,not gpt assistance,[ 2  2 33  3],[0.    0.    1.    0.032],49.968,0.333,0.667,0.008,0.003,0.997,0.007
10,at_review,BibliothecaDAO_eternum,449,GPT PR,gpt assistance,[  7  35 500  13],[0.    0.057 1.    0.012],3.331,woowacourse-precourse_java-lotto-6,726,Not GPT PR,not gpt assistance,[  4  23 396   0],[0.01  0.058 1.    0.   ],13.888,0.5,0.5,0.023,0.0,1.0,0.016
11,at_review,BibliothecaDAO_eternum,454,GPT PR,gpt assistance,[ 0  0  0 13],[0. 0. 0. 1.],0.028,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
12,at_review,BibliothecaDAO_eternum,456,GPT PR,gpt assistance,[   3    6 1216   13],[0.    0.002 1.    0.008],86.149,NVIDIA_NeMo,4532,Not GPT PR,not gpt assistance,[   4   14 3412   35],[0.    0.003 1.    0.009],23.449,0.0,1.0,0.002,0.0,1.0,0.001
