project,pull_number,actor,project_age_month,no_commits,PR_size(SLOC),no_changed_files,time_to_merge_h,is_gpt
0atman_noboilerplate,48,0atman,16,5,742,40,7.889,1
1712n_dn-institute,293,evgenydmitriev,7,2,842,3,91.361,1
1Panel-dev_appstore,355,zhengkunwang223,6,3,96,11,388.156,0
3DStreet_3dstreet-editor,274,kfarr,14,6,222,12,14.106,1
6boris_awesome-golang-algorithm,732,6boris,62,1,93,3,918.679,0
96boards_meta-96boards,348,ndechesne,75,1,2,1,1.052,0
96boards_documentation,710,mani-sadhasivam,48,5,120,7,613.655,0
9oya_analytics_logger_gen,4,9oya,0,3,489,14,17.004,1
AC-BO-Hackathon_ac-bo-hackathon.github.io,80,sgbaird,1,1,2,1,10.99,0
AC-BO-Hackathon_ac-bo-hackathon.github.io,72,sgbaird,1,1,3,1,1.185,0
AC-BO-Hackathon_ac-bo-hackathon.github.io,67,sgbaird,1,1,1,1,3.677,0
AC-BO-Hackathon_ac-bo-hackathon.github.io,147,sgbaird,1,3,22,3,6.665,0
AC-BO-Hackathon_ac-bo-hackathon.github.io,126,sgbaird,1,2,4,2,903.812,0
AC-BO-Hackathon_ac-bo-hackathon.github.io,33,sgbaird,1,1,4,1,3.641,0
AOSPAlliance_android-prepare-vendor,16,chirayudesai,4,1,10,1,18.1,0
ARM-software_arm-enterprise-acs,119,prasanth-pulla,57,1,25,1,0.044,0
AUTOMATIC1111_stable-diffusion-webui-extensions,264,w-e-w,10,2,13,2,2.089,0
AbanteAI_mentat,252,jakethekoenig,3,2,10,2,0.507,0
AbanteAI_mentat,322,jakethekoenig,4,15,1116,44,194.409,1
AbanteAI_mentat,116,jakethekoenig,2,2,128,4,0.339,1
AbstractSDK_cw-orchestrator,345,kayanski,18,5,199,24,124.233,1
AbstractSDK_abstract,209,cyberhoward,6,59,3243,184,143.061,1
ActivityWatch_aw-watcher-window,95,erikbjare,88,2,35,2,67.718,1
Ada18980_KinkiestDungeon,86,ada18980,14,70,1298,70,497.454,0
AdaptiveMotorControlLab_AmadeusGPT,11,mmathislab,5,4,15,8,0.364,1
AdguardTeam_FiltersRegistry,449,adamwr,37,1,1,1,0.637,0
AdguardTeam_AdguardFilters,79811,sergey-lyapin,80,9,16,9,27.507,0
AdguardTeam_AdguardFilters,86017,zloyden,82,5,31,12,35.12,0
AdguardTeam_AdguardFilters,70150,alex-302,76,1,128,4,17.231,0
AdguardTeam_AdguardFilters,66660,alex-302,74,1,57,7,25.269,0
AdguardTeam_AdguardFilters,64857,alex-302,73,13,199,13,100.953,0
AdguardTeam_AdguardFilters,61067,alex-302,72,4,14,7,104.444,0
AdguardTeam_AdguardFilters,35585,alex-302,58,3,6,4,108.139,0
AdguardTeam_AdguardFilters,174443,alex-302,115,4,12,4,68.447,0
AdguardTeam_AdguardFilters,70462,adamwr,76,1,137,5,28.356,0
AdguardTeam_AdguardFilters,133245,zloyden,98,10,37,11,117.619,0
AdguardTeam_AdguardFilters,30460,alex-302,54,3,11,7,127.305,0
AdguardTeam_AdguardFilters,125888,zloyden,95,3,5,4,14.778,0
AdguardTeam_AdguardFilters,114653,zloyden,91,2,7,4,0.689,0
AgentOps-AI_agentops,96,bboynton97,6,5,29,6,311.552,1
AgoraIO_agora_doc_source,3049,suri539,25,58,16869,156,1602.8,0
AgoraIO_agora_doc_source,2896,suri539,24,7,1774,102,163.763,0
AlmaLinux_leapp-repository,3,andrewlukoshko,8,4,97,4,4083.677,0
AlmaLinux_leapp-repository,16,andrewlukoshko,14,1,26,1,87.06,0
AntiZapret_antizapret,24,msva,3,2,240,3,3192.448,0
Automattic_wp-calypso,84168,imran92,96,6,70,6,212.429,1
Automattic_wp-calypso,83292,rcrdortiz,95,4,93,12,70.097,1
Avaiga_taipy-doc,777,florianjacta,22,16,1137,65,166.288,0
Azure_MS-AMP-Examples,11,tocean,3,2,56,3,62.323,0
Azure_azure-sdk-tools,7973,larryosterman,61,6,250,18,140.927,0
Azure_azureml-assets,1688,vvatsalya,19,1,11,1,0.99,0
Azure_bicep-registry-modules,331,shenglol,15,6,431,18,245.056,1
Azure-Samples_app-templates-java-openai-springapps,25,aarthiem,0,5,132,12,3.335,0
BibliothecaDAO_eternum,438,ponderingdemocritus,13,1,88,1,0.368,1
BibliothecaDAO_eternum,458,aymericdelab,13,4,1281,13,1.658,1
BibliothecaDAO_eternum,456,r0man1337,13,5,115521,19,86.151,1
BibliothecaDAO_eternum,454,aymericdelab,13,1,180,2,0.032,1
BibliothecaDAO_eternum,449,aymericdelab,13,24,2169,82,3.334,1
BibliothecaDAO_eternum,440,aymericdelab,13,4,5051,59,1.404,1
BibliothecaDAO_eternum,445,ponderingdemocritus,13,1,1,1,7.891,1
BibliothecaDAO_eternum,444,ponderingdemocritus,13,5,650,9,3.771,1
BibliothecaDAO_eternum,442,ponderingdemocritus,13,1,10,4,7.773,1
Book-Study-For-Developer_Modern-React-Deep-Dive,48,jihoo-o,2,5,555,11,284.339,0
Bouni_python-luxtronik,154,gerw,65,1,7,1,0.732,1
CDCgov_phdi,1165,angelathe,18,19,1022,41,224.501,0
CORE-GATECH-GROUP_serpent-tools,405,drewejohnson,32,2,31,2,4.084,0
CSUSTers_csust-got,175,hugefiver,35,1,271,7,14.991,0
CSUSTers_csust-got,206,icceey,37,5,384,15,25.578,0
CUBRID_cubrid,4492,rudeus,88,19,585,43,593.128,1
Calcium-Ion_new-api,197,calcium-ion,5,1,2,1,0.04,0
Canner_WrenAI,58,wwwy3y3,0,2,393,7,14.682,1
Charcoal-SE_SmokeDetector,8514,smokedetector,117,1,1,1,8.279,0
Checkmarx_ast-vscode-extension,613,igorlombacx,24,2,18,4,18.014,0
Checkmarx_ast-vscode-extension,773,orshamircm,29,1,106,2,523.435,0
Checkmarx_ast-vscode-extension,779,orshamircm,29,1,193,2,122.488,0
Checkmarx_ast-vscode-extension,781,orshamircm,29,1,3,1,0.116,0
Checkmarx_ast-vscode-extension,783,checkmarx-kobi-hagmi,29,1,2,1,0.516,0
Checkmarx_ast-vscode-extension,787,orshamircm,30,1,16,2,16.521,0
Checkmarx_ast-vscode-extension,804,checkmarx-kobi-hagmi,30,15,276,37,74.724,0
Checkmarx_ast-vscode-extension,765,orshamircm,29,1,2,1,120.848,0
ChibiOS_ChibiOS-Contrib,393,fpoussin,112,1,541,3,139.853,0
ChibiOS_ChibiOS-Contrib,344,utzig,96,1,2,1,15.487,0
Cisco-Talos_clamav,941,micahsnyder,130,1,1439,9,1474.602,0
CitizenLabDotCo_citizenlab,4616,alexander-cit,24,5,494,22,21.184,1
City-of-Helsinki_linkedevents,889,harriris-vincit,121,1,115,4,46.26,1
ClickHouse_ClickHouse,47874,kochetovnicolai,81,2,514,44,53.615,1
ClusterLabs_crmsh,798,liangxin1300,84,3,1672,14,1160.115,0
Codecademy_docs,1829,hishamt,23,16,219,16,512.947,0
CodethinkLabs_mt3620-m4-samples,17,aiden-ct,10,1,1750,21,139.686,0
CodingTrain_thecodingtrain.com,516,shiffman,12,9,260,9,34.814,0
Codium-ai_pr-agent,649,mrt23,7,2,18,2,58.1,1
Codium-ai_pr-agent,650,mrt23,7,3,183,3,15.291,1
Codium-ai_pr-agent,651,mrt23,7,2,26,2,0.231,1
Codium-ai_pr-agent,712,mrt23,7,3,34,4,1.867,1
Codium-ai_pr-agent,709,mrt23,7,1,48,2,0.059,1
Codium-ai_pr-agent,710,mrt23,7,5,44,5,0.915,1
Codium-ai_pr-agent,714,mrt23,7,2,30,2,49.224,1
Codium-ai_pr-agent,715,mrt23,7,1,2,1,0.037,1
Codium-ai_pr-agent,716,okotek,7,1,11,3,0.163,1
Codium-ai_pr-agent,717,mrt23,7,1,7,1,0.224,1
Codium-ai_pr-agent,708,mrt23,7,5,382,28,14.136,1
Codium-ai_pr-agent,646,mrt23,7,12,519,30,20.395,1
Codium-ai_pr-agent,641,mrt23,7,4,133,12,8.152,1
Codium-ai_pr-agent,643,mrt23,7,3,22,3,10.224,1
Codium-ai_pr-agent,719,mrt23,7,2,130,5,0.549,1
Codium-ai_pr-agent,640,mrt23,7,1,2,1,0.031,1
Codium-ai_pr-agent,639,mrt23,6,2,26,3,2.898,1
Codium-ai_pr-agent,638,mrt23,6,4,400,23,2.754,1
Codium-ai_pr-agent,636,mrt23,6,1,44,5,7.014,1
Codium-ai_pr-agent,634,mrt23,6,1,26,2,119.248,1
Codium-ai_pr-agent,630,mrt23,6,3,66,11,1.323,1
Codium-ai_pr-agent,629,mrt23,6,7,265,7,0.534,1
Codium-ai_pr-agent,628,mrt23,6,2,43,4,0.086,1
Codium-ai_pr-agent,627,mrt23,6,3,30,3,0.128,1
Codium-ai_pr-agent,624,mrt23,6,1,16,2,0.701,1
Codium-ai_pr-agent,622,mrt23,6,1,2,2,3.103,1
Codium-ai_pr-agent,644,mrt23,7,2,34,3,12.251,1
Codium-ai_pr-agent,720,mrt23,7,2,40,4,0.127,1
Codium-ai_pr-agent,730,mrt23,7,5,57,6,49.015,1
Codium-ai_pr-agent,725,mrt23,7,3,44,3,5.347,1
Codium-ai_pr-agent,815,mrt23,8,1,24,4,0.035,1
Codium-ai_pr-agent,810,hussam789,8,2,6,3,2.609,1
Codium-ai_pr-agent,809,mrt23,8,1,5,1,23.224,1
Codium-ai_pr-agent,805,mrt23,8,1,6,1,0.945,1
