owner_login,name,number,is_gpt
0atman,noboilerplate,48,1
1712n,dn-institute,293,1
3DStreet,3dstreet-editor,274,1
9oya,analytics_logger_gen,4,1
aallam,openai-kotlin,332,1
AbanteAI,mentat,116,1
AbanteAI,mentat,322,1
AbstractSDK,abstract,209,1
AbstractSDK,cw-orchestrator,345,1
ActivityWatch,aw-watcher-window,95,1
AdaptiveMotorControlLab,AmadeusGPT,11,1
adrianliechti,devkit,11,1
AgentOps-AI,agentops,96,1
ai-collection,ai-collection,86,1
airbytehq,airbyte,26643,1
algorand,go-algorand-sdk,534,1
alibaba,libgrape-lite,134,1
Alibaba-MIIL,ASL,59,1
alshedivat,al-folio,2059,1
ampproject,amphtml,9763,1
anaclumos,heimdall,18,1
anvilistas,anvil-extras,405,1
apache,airflow,23079,1
apache,airflow,28300,1
apache,cloudstack,7671,1
apache,eventmesh-site,215,1
apache,flink-cdc,2924,1
apache,incubator-devlake-website,680,1
apache,incubator-hugegraph-doc,258,1
apache,maven-build-cache-extension,58,1
apache,spark,41711,1
apache,superset,27905,1
apple,swift-syntax,2334,1
appunite,Loudius,20,1
aptos-labs,explorer,444,1
aragon,app,808,1
ardatan,graphql-mesh,6790,1
armosec,kubecop,151,1
armosec,kubecop,164,1
armosec,kubecop,166,1
armosec,kubecop,167,1
armosec,kubecop,168,1
armosec,kubecop,169,1
armosec,kubecop,171,1
armosec,kubecop,172,1
armosec,kubecop,174,1
armosec,kubecop,175,1
armosec,kubecop,177,1
armosec,kubecop,179,1
armosec,kubecop,180,1
armosec,kubecop,181,1
armosec,kubecop,182,1
armosec,kubecop,186,1
armosec,kubecop,187,1
arrow-kt,arrow,3004,1
athina-ai,athina-evals,19,1
athina-ai,athina-evals,22,1
Automattic,wp-calypso,83292,1
Automattic,wp-calypso,84168,1
autowarefoundation,autoware.universe,5954,1
autowarefoundation,autoware.universe,6570,1
autowarefoundation,autoware.universe,6618,1
autowarefoundation,autoware.universe,6649,1
avmnu-sng,rspec-tracer,1,1
avmnu-sng,rspec-tracer,26,1
avmnu-sng,rspec-tracer,28,1
avmnu-sng,rspec-tracer,63,1
axiomhq,next-axiom,120,1
az-digital,az_quickstart,3109,1
Azure,azure-kusto-java,300,1
Azure,azure-kusto-java,301,1
Azure,bicep-registry-modules,331,1
Azure,bicep-registry-modules,373,1
bacalhau-project,bacalhau,2778,1
ballerine-io,ballerine,2054,1
ballerine-io,ballerine,2065,1
ballerine-io,ballerine,2092,1
ballerine-io,ballerine,2094,1
ballerine-io,ballerine,2095,1
ballerine-io,ballerine,2096,1
ballerine-io,ballerine,2097,1
ballerine-io,ballerine,2098,1
ballerine-io,ballerine,2101,1
ballerine-io,ballerine,2103,1
ballerine-io,ballerine,2105,1
ballerine-io,ballerine,2106,1
ballerine-io,ballerine,2107,1
ballerine-io,ballerine,2108,1
ballerine-io,ballerine,2109,1
ballerine-io,ballerine,2110,1
ballerine-io,ballerine,2111,1
ballerine-io,ballerine,2112,1
ballerine-io,ballerine,2113,1
ballerine-io,ballerine,2114,1
ballerine-io,ballerine,2115,1
ballerine-io,ballerine,2116,1
ballerine-io,ballerine,2120,1
ballerine-io,ballerine,2121,1
ballerine-io,ballerine,2122,1
ballerine-io,ballerine,2124,1
ballerine-io,ballerine,2125,1
ballerine-io,ballerine,2126,1
ballerine-io,ballerine,2127,1
ballerine-io,ballerine,2128,1
ballerine-io,ballerine,2129,1
ballerine-io,ballerine,2131,1
ballerine-io,ballerine,2133,1
ballerine-io,ballerine,2134,1
ballerine-io,ballerine,2135,1
ballerine-io,ballerine,2136,1
ballerine-io,ballerine,2137,1
