owner_login,name,number
0atman,noboilerplate,48
1712n,dn-institute,293
3DStreet,3dstreet-editor,274
9oya,analytics_logger_gen,4
AbanteAI,mentat,116
AbanteAI,mentat,322
AbstractSDK,abstract,209
AbstractSDK,cw-orchestrator,345
ActivityWatch,aw-watcher-window,95
AdaptiveMotorControlLab,AmadeusGPT,11
AgentOps-AI,agentops,96
Alibaba-MIIL,ASL,59
Automattic,wp-calypso,83292
Automattic,wp-calypso,84168
Azure,azure-kusto-java,300
Azure,azure-kusto-java,301
Azure,bicep-registry-modules,331
Azure,bicep-registry-modules,373
BibliothecaDAO,eternum,438
BibliothecaDAO,eternum,440
BibliothecaDAO,eternum,442
BibliothecaDAO,eternum,444
BibliothecaDAO,eternum,445
BibliothecaDAO,eternum,449
BibliothecaDAO,eternum,454
BibliothecaDAO,eternum,456
BibliothecaDAO,eternum,458
BookBeat,knightbus,100
Bouni,python-luxtronik,154
CUBRID,cubrid,4492
Canner,WrenAI,57
Canner,WrenAI,58
ChimeraOS,chimeraos,800
CitizenLabDotCo,citizenlab,4616
City-of-Helsinki,linkedevents,889
ClickHouse,ClickHouse,47874
Codium-ai,AlphaCodium,10
Codium-ai,AlphaCodium,15
Codium-ai,AlphaCodium,16
Codium-ai,AlphaCodium,18
Codium-ai,AlphaCodium,19
Codium-ai,AlphaCodium,25
Codium-ai,AlphaCodium,28
Codium-ai,AlphaCodium,29
Codium-ai,AlphaCodium,31
Codium-ai,AlphaCodium,32
Codium-ai,AlphaCodium,35
Codium-ai,AlphaCodium,38
Codium-ai,AlphaCodium,40
Codium-ai,AlphaCodium,41
Codium-ai,AlphaCodium,7
Codium-ai,AlphaCodium,8
Codium-ai,AlphaCodium,9
Codium-ai,pr-agent,139
Codium-ai,pr-agent,338
Codium-ai,pr-agent,400
Codium-ai,pr-agent,481
Codium-ai,pr-agent,587
Codium-ai,pr-agent,594
Codium-ai,pr-agent,598
Codium-ai,pr-agent,600
Codium-ai,pr-agent,601
Codium-ai,pr-agent,605
Codium-ai,pr-agent,607
Codium-ai,pr-agent,612
Codium-ai,pr-agent,613
Codium-ai,pr-agent,614
Codium-ai,pr-agent,616
Codium-ai,pr-agent,618
Codium-ai,pr-agent,620
Codium-ai,pr-agent,621
Codium-ai,pr-agent,622
Codium-ai,pr-agent,624
Codium-ai,pr-agent,627
Codium-ai,pr-agent,628
Codium-ai,pr-agent,629
Codium-ai,pr-agent,630
Codium-ai,pr-agent,634
Codium-ai,pr-agent,636
Codium-ai,pr-agent,638
Codium-ai,pr-agent,639
Codium-ai,pr-agent,640
Codium-ai,pr-agent,641
Codium-ai,pr-agent,643
Codium-ai,pr-agent,644
Codium-ai,pr-agent,646
Codium-ai,pr-agent,649
Codium-ai,pr-agent,650
Codium-ai,pr-agent,651
Codium-ai,pr-agent,653
Codium-ai,pr-agent,654
Codium-ai,pr-agent,655
Codium-ai,pr-agent,656
Codium-ai,pr-agent,661
Codium-ai,pr-agent,665
Codium-ai,pr-agent,666
Codium-ai,pr-agent,667
Codium-ai,pr-agent,670
Codium-ai,pr-agent,672
Codium-ai,pr-agent,673
Codium-ai,pr-agent,674
Codium-ai,pr-agent,675
Codium-ai,pr-agent,677
Codium-ai,pr-agent,678
Codium-ai,pr-agent,679
Codium-ai,pr-agent,680
Codium-ai,pr-agent,681
Codium-ai,pr-agent,682
Codium-ai,pr-agent,683
Codium-ai,pr-agent,684
Codium-ai,pr-agent,686
Codium-ai,pr-agent,687
Codium-ai,pr-agent,691
Codium-ai,pr-agent,694
Codium-ai,pr-agent,695
Codium-ai,pr-agent,696
Codium-ai,pr-agent,700
Codium-ai,pr-agent,701
Codium-ai,pr-agent,705
Codium-ai,pr-agent,706
Codium-ai,pr-agent,707
Codium-ai,pr-agent,708
Codium-ai,pr-agent,709
Codium-ai,pr-agent,710
Codium-ai,pr-agent,712
Codium-ai,pr-agent,714
Codium-ai,pr-agent,715
Codium-ai,pr-agent,716
Codium-ai,pr-agent,717
Codium-ai,pr-agent,719
Codium-ai,pr-agent,720
Codium-ai,pr-agent,723
Codium-ai,pr-agent,725
Codium-ai,pr-agent,727
Codium-ai,pr-agent,729
Codium-ai,pr-agent,730
Codium-ai,pr-agent,736
Codium-ai,pr-agent,744
Codium-ai,pr-agent,745
Codium-ai,pr-agent,746
Codium-ai,pr-agent,747
Codium-ai,pr-agent,748
Codium-ai,pr-agent,750
Codium-ai,pr-agent,751
Codium-ai,pr-agent,756
Codium-ai,pr-agent,757
Codium-ai,pr-agent,759
Codium-ai,pr-agent,762
Codium-ai,pr-agent,764
Codium-ai,pr-agent,769
Codium-ai,pr-agent,772
Codium-ai,pr-agent,775
Codium-ai,pr-agent,776
Codium-ai,pr-agent,786
Codium-ai,pr-agent,793
Codium-ai,pr-agent,800
Codium-ai,pr-agent,804
Codium-ai,pr-agent,805
Codium-ai,pr-agent,809
Codium-ai,pr-agent,810
Codium-ai,pr-agent,815
Codium-ai,pr-agent,817
Data-Provenance-Initiative,Data-Provenance-Collection,15
Data-Provenance-Initiative,Data-Provenance-Collection,26
Data-Provenance-Initiative,Data-Provenance-Collection,33
DenverCoder1,github-readme-streak-stats,479
DragonOS-Community,DragonOS,576
DragonOS-Community,DragonOS,578
DragonOS-Community,DragonOS,579
DragonOS-Community,DragonOS,589
DragonOS-Community,DragonOS,592
DragonOS-Community,DragonOS,593
DragonOS-Community,DragonOS,594
DragonOS-Community,DragonOS,595
DragonOS-Community,DragonOS,596
DragonOS-Community,DragonOS,600
DragonOS-Community,DragonOS,601
DragonOS-Community,DragonOS,602
DragonOS-Community,DragonOS,603
DragonOS-Community,DragonOS,606
DragonOS-Community,DragonOS,607
DragonOS-Community,DragonOS,609
DragonOS-Community,DragonOS,610
DragonOS-Community,DragonOS,611
DragonOS-Community,DragonOS,613
DragonOS-Community,DragonOS,614
