repo_name,PR Title,PR Number,State,Created At,URL,URL status
sik2/chat_2nd_2412,이미정 과제제출 합니다,2,open,2025-01-01 14:04:21+00:00,https://github.com/sik2/chat_2nd_2412/pull/2,True
raghusharma1/learning-go,Unit test generated by RoostGPT,275,open,2025-01-01 11:38:24+00:00,https://github.com/raghusharma1/learning-go/pull/275,True
raghusharma1/learning-go,Unit test generated by RoostGPT,274,open,2025-01-01 02:54:03+00:00,https://github.com/raghusharma1/learning-go/pull/274,True
TEN-framework/TEN-Agent,"Add LiteLLM - support for Sambanova, Vertex AI, Gemini, Anthropic, Bedrock (100+LLMs) ",548,open,2025-01-01 16:34:41+00:00,https://github.com/TEN-framework/TEN-Agent/pull/548,True
bhavya1099/golang-grpc-realworld-example,Unit test generated by RoostGPT,7,open,2025-01-01 12:02:16+00:00,https://github.com/bhavya1099/golang-grpc-realworld-example/pull/7,True
ServiceNow/context-is-key-forecasting,"Add LiteLLM - support for Vertex AI, Gemini, Anthropic, Bedrock (100+LLMs)",13,open,2025-01-01 18:13:10+00:00,https://github.com/ServiceNow/context-is-key-forecasting/pull/13,True
frdel/agent-zero,"Add LiteLLM - support for Vertex AI, Gemini, Anthropic, Bedrock (100+LLMs)",290,open,2025-01-01 18:16:37+00:00,https://github.com/frdel/agent-zero/pull/290,True
raghusharma1/python-beginner-projects,Unit test generated by RoostGPT,452,open,2025-01-01 11:42:16+00:00,https://github.com/raghusharma1/python-beginner-projects/pull/452,True
LiveBench/LiveBench,"Add LiteLLM - support for Vertex AI, Gemini, Anthropic, Bedrock (100+LLMs)",116,open,2025-01-01 17:57:13+00:00,https://github.com/LiveBench/LiveBench/pull/116,True
raghusharma1/python-beginner-projects,Unit test generated by RoostGPT,451,open,2025-01-01 02:57:52+00:00,https://github.com/raghusharma1/python-beginner-projects/pull/451,True
akshatjain04/go-samples,Unit test generated by RoostGPT,32,open,2025-01-01 06:58:06+00:00,https://github.com/akshatjain04/go-samples/pull/32,True
raghusharma1/APIsFulfillment,API test (Using API Spec) generated by RoostGPT,609,open,2025-01-01 11:44:44+00:00,https://github.com/raghusharma1/APIsFulfillment/pull/609,True
raghusharma1/APIsFulfillment,API test (Using API Spec) generated by RoostGPT,608,open,2025-01-01 11:42:44+00:00,https://github.com/raghusharma1/APIsFulfillment/pull/608,True
raghusharma1/APIsFulfillment,API test (Using API Spec) generated by RoostGPT,607,open,2025-01-01 11:42:37+00:00,https://github.com/raghusharma1/APIsFulfillment/pull/607,True
raghusharma1/java-springboot,API test (Using API Spec) generated by RoostGPT,696,open,2025-01-01 11:42:31+00:00,https://github.com/raghusharma1/java-springboot/pull/696,True
raghusharma1/java-springboot,API test (Using API Spec) generated by RoostGPT,695,open,2025-01-01 11:41:48+00:00,https://github.com/raghusharma1/java-springboot/pull/695,True
raghusharma1/APIsFulfillment,API test (Using API Spec) generated by RoostGPT,605,open,2025-01-01 03:00:23+00:00,https://github.com/raghusharma1/APIsFulfillment/pull/605,True
raghusharma1/APIsFulfillment,API test (Using API Spec) generated by RoostGPT,604,open,2025-01-01 02:58:16+00:00,https://github.com/raghusharma1/APIsFulfillment/pull/604,True
raghusharma1/java-springboot,API test (Using API Spec) generated by RoostGPT,692,open,2025-01-01 02:58:17+00:00,https://github.com/raghusharma1/java-springboot/pull/692,True
raghusharma1/APIsFulfillment,API test (Using API Spec) generated by RoostGPT,603,open,2025-01-01 02:57:32+00:00,https://github.com/raghusharma1/APIsFulfillment/pull/603,True
raghusharma1/java-springboot,API test (Using API Spec) generated by RoostGPT,691,open,2025-01-01 02:57:24+00:00,https://github.com/raghusharma1/java-springboot/pull/691,True
raghusharma1/APIsFulfillment,API test (Using API Spec) generated by RoostGPT,610,open,2025-01-01 11:46:13+00:00,https://github.com/raghusharma1/APIsFulfillment/pull/610,True
raghusharma1/java-springboot,API test (Using API Spec) generated by RoostGPT,697,open,2025-01-01 11:45:57+00:00,https://github.com/raghusharma1/java-springboot/pull/697,True
raghusharma1/java-springboot,API test (Using API Spec) generated by RoostGPT,694,open,2025-01-01 11:41:19+00:00,https://github.com/raghusharma1/java-springboot/pull/694,True
raghusharma1/APIsFulfillment,API test (Using API Spec) generated by RoostGPT,606,open,2025-01-01 03:01:33+00:00,https://github.com/raghusharma1/APIsFulfillment/pull/606,True
raghusharma1/java-springboot,API test (Using API Spec) generated by RoostGPT,693,open,2025-01-01 03:01:09+00:00,https://github.com/raghusharma1/java-springboot/pull/693,True
raghusharma1/java-springboot,API test (Using API Spec) generated by RoostGPT,690,open,2025-01-01 02:56:57+00:00,https://github.com/raghusharma1/java-springboot/pull/690,True
microsoft/graphrag,"Add LiteLLM - support for Ollama, Vertex AI, Gemini, Anthropic, Bedrock (100+LLMs) ",1575,open,2025-01-01 17:00:07+00:00,https://github.com/microsoft/graphrag/pull/1575,True
kaushalpowar/talk_to_pdf,"
feat: Enhance Talk to PDF app with improved structure and error handling
",31,open,2025-01-01 14:38:21+00:00,https://github.com/kaushalpowar/talk_to_pdf/pull/31,True
mozilla-ai/lumigator,"Add LiteLLM - support for Vertex AI, Gemini, Anthropic, Bedrock (100+LLMs)",552,open,2025-01-01 16:53:30+00:00,https://github.com/mozilla-ai/lumigator/pull/552,True
kaushalpowar/talk_to_pdf,"
feat: Refactor codebase and improve UI
",38,open,2025-01-01 17:05:38+00:00,https://github.com/kaushalpowar/talk_to_pdf/pull/38,True
kaushalpowar/talk_to_pdf,"
feat: Enhance Talk to PDF app with improved UI and structure
",35,open,2025-01-01 16:29:28+00:00,https://github.com/kaushalpowar/talk_to_pdf/pull/35,True
kaushalpowar/talk_to_pdf,"
feat: Enhance Talk to PDF app with improved error handling and new features
",37,open,2025-01-01 16:58:06+00:00,https://github.com/kaushalpowar/talk_to_pdf/pull/37,True
khulnasoft/gpt-computer-agent,⬆ Bump upsonic from 0.28.4 to 0.34.3,80,open,2025-01-01 09:38:17+00:00,https://github.com/khulnasoft/gpt-computer-agent/pull/80,True
Significant-Gravitas/AutoGPT,feat(blocks): Add AI/ML API support to LLM blocks,9163,open,2025-01-01 13:06:28+00:00,https://github.com/Significant-Gravitas/AutoGPT/pull/9163,True
ioBroker/ioBroker.javascript,Update openai requirement from ^4.57.0 to ^4.77.0 in /src,1781,open,2025-01-01 03:20:59+00:00,https://github.com/ioBroker/ioBroker.javascript/pull/1781,True
openai/openai-realtime-api-beta,Custom Realtime Model Selection,92,open,2025-01-01 19:41:27+00:00,https://github.com/openai/openai-realtime-api-beta/pull/92,True
khulnasoft/gpt-computer-agent,⬆ Bump pydantic from 2.7.2 to 2.10.4,81,open,2025-01-01 10:20:17+00:00,https://github.com/khulnasoft/gpt-computer-agent/pull/81,True
Harmanpreet-Microsoft/psl-byo-main,build: bump openai from 1.6.1 to 1.58.1 in /ClientAdvisor/AzureFunction,111,open,2025-01-01 19:47:17+00:00,https://github.com/Harmanpreet-Microsoft/psl-byo-main/pull/111,True
Harmanpreet-Microsoft/psl-byo-main,build: bump openai from 1.6.1 to 1.58.1 in /ResearchAssistant/App,103,open,2025-01-01 19:13:06+00:00,https://github.com/Harmanpreet-Microsoft/psl-byo-main/pull/103,True
Harmanpreet-Microsoft/psl-byo-main,build: bump openai from 1.6.1 to 1.58.1 in /ClientAdvisor/App,98,open,2025-01-01 19:09:42+00:00,https://github.com/Harmanpreet-Microsoft/psl-byo-main/pull/98,True
microsoft/Build-your-own-copilot-Solution-Accelerator,build: bump openai from 1.55.3 to 1.58.1 in /ClientAdvisor/App,265,open,2025-01-01 21:02:07+00:00,https://github.com/microsoft/Build-your-own-copilot-Solution-Accelerator/pull/265,True
