repo_name,PR Title,PR Number,State,Created At,URL,URL status,stars,nb_commits,nb_pulls,nb_chatgpt,nb_issues,contributors,forks,watchers,size,created_at,push_at,is_forked,language,topics,Participants
sik2/chat_2nd_2412,이미정 과제제출 합니다,2,open,2025-01-01 14:04:21+00:00,https://github.com/sik2/chat_2nd_2412/pull/2,True,0,2,5,1,5,1,14,0,53,2024-12-31 04:34:56+00:00,2025-01-01 19:12:52+00:00,False,HTML,[],1.0
raghusharma1/learning-go,Unit test generated by RoostGPT,275,open,2025-01-01 11:38:24+00:00,https://github.com/raghusharma1/learning-go/pull/275,True,0,214,289,2,289,5,0,0,963,2024-08-30 07:58:26+00:00,2025-01-10 11:37:49+00:00,True,,[],1.0
raghusharma1/learning-go,Unit test generated by RoostGPT,274,open,2025-01-01 02:54:03+00:00,https://github.com/raghusharma1/learning-go/pull/274,True,0,214,289,2,289,5,0,0,963,2024-08-30 07:58:26+00:00,2025-01-10 11:37:49+00:00,True,,[],2.0
TEN-framework/TEN-Agent,"Add LiteLLM - support for Sambanova, Vertex AI, Gemini, Anthropic, Bedrock (100+LLMs) ",548,open,2025-01-01 16:34:41+00:00,https://github.com/TEN-framework/TEN-Agent/pull/548,True,4106,765,366,1,547,28,446,4106,31634,2024-06-19 14:26:15+00:00,2025-01-28 09:16:56+00:00,False,Python,"['agent', 'gemini', 'gpt-4', 'llm', 'multimodal', 'nextjs14', 'openai', 'realtime', 'voice-assistant', 'cpp', 'golang', 'python', 'ai', 'gpt-4o', 'rag', 'vision', 'real-time', 'asr', 'low-latency', 'tts']",1.0
bhavya1099/golang-grpc-realworld-example,Unit test generated by RoostGPT,7,open,2025-01-01 12:02:16+00:00,https://github.com/bhavya1099/golang-grpc-realworld-example/pull/7,True,0,78,8,1,8,1,0,0,294,2024-12-11 04:46:27+00:00,2025-01-02 09:09:07+00:00,True,,[],2.0
ServiceNow/context-is-key-forecasting,"Add LiteLLM - support for Vertex AI, Gemini, Anthropic, Bedrock (100+LLMs)",13,open,2025-01-01 18:13:10+00:00,https://github.com/ServiceNow/context-is-key-forecasting/pull/13,True,43,822,10,1,16,7,8,43,7164,2024-10-07 15:00:30+00:00,2025-01-23 20:56:20+00:00,False,Jupyter Notebook,[],2.0
frdel/agent-zero,"Add LiteLLM - support for Vertex AI, Gemini, Anthropic, Bedrock (100+LLMs)",290,open,2025-01-01 18:16:37+00:00,https://github.com/frdel/agent-zero/pull/290,True,5665,320,108,1,301,10,1252,5665,19047,2024-06-10 09:10:45+00:00,2025-01-21 14:29:16+00:00,False,Python,[],1.0
raghusharma1/python-beginner-projects,Unit test generated by RoostGPT,452,open,2025-01-01 11:42:16+00:00,https://github.com/raghusharma1/python-beginner-projects/pull/452,True,0,1767,513,2,513,236,0,0,101536,2024-09-10 08:19:25+00:00,2025-01-28 11:39:57+00:00,True,Python,[],1.0
LiveBench/LiveBench,"Add LiteLLM - support for Vertex AI, Gemini, Anthropic, Bedrock (100+LLMs)",116,open,2025-01-01 17:57:13+00:00,https://github.com/LiveBench/LiveBench/pull/116,True,430,100,18,1,124,10,37,430,15059,2024-06-12 12:13:57+00:00,2025-01-28 16:38:36+00:00,False,Python,[],1.0
raghusharma1/python-beginner-projects,Unit test generated by RoostGPT,451,open,2025-01-01 02:57:52+00:00,https://github.com/raghusharma1/python-beginner-projects/pull/451,True,0,1767,513,2,513,236,0,0,101536,2024-09-10 08:19:25+00:00,2025-01-28 11:39:57+00:00,True,Python,[],1.0
akshatjain04/go-samples,Unit test generated by RoostGPT,32,open,2025-01-01 06:58:06+00:00,https://github.com/akshatjain04/go-samples/pull/32,True,0,581,77,1,77,161,2,0,2836,2024-01-18 11:12:18+00:00,2025-01-21 12:53:46+00:00,True,,[],1.0
raghusharma1/APIsFulfillment,API test (Using API Spec) generated by RoostGPT,609,open,2025-01-01 11:44:44+00:00,https://github.com/raghusharma1/APIsFulfillment/pull/609,True,0,24,762,8,762,3,0,0,3440,2024-10-11 08:57:45+00:00,2025-01-28 11:43:39+00:00,True,,[],1.0
raghusharma1/APIsFulfillment,API test (Using API Spec) generated by RoostGPT,608,open,2025-01-01 11:42:44+00:00,https://github.com/raghusharma1/APIsFulfillment/pull/608,True,0,24,762,8,762,3,0,0,3440,2024-10-11 08:57:45+00:00,2025-01-28 11:43:39+00:00,True,,[],1.0
